mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
20.0-22.0 kDa,20.0,22.0,149,0,0,9,Actin_tubulin; Autophagy; Cell_cycle; Glycolytic_controls; Heat_shock_chaperones; Mitochondrial_membrane; Proteasome; Ribosomal_proteins; Ubiquitin_system,,,"YGR273C, FYV6, JJJ3, IRC25 [Heat_shock_chaperones; Proteasome], YGL242C, MRPL36, VPS68, UPS1, YOL024W, SCM4, YGL262W, YNL208W, MPO1, FMP33, YKR045C, BNA1, MEH1, SDH4",14.2,elevated
22.0-24.0 kDa,22.0,24.0,154,0,0,10,Autophagy; Cell_cycle; ER_UPR; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Proteasome; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_system,,,"FRQ1, COA1 [Mitochondrial_membrane], SRL1, FUN14, CIN4, SDH3, HAM1, ADD37, BET3, YOR387C, ERV2, YLR179C, VEL1, YDR248C, YMR295C, ATG31 [Autophagy], YPL257W, RPL16A [Ribosomal_proteins]",15.2,elevated
24.0-26.0 kDa,24.0,26.0,169,0,0,8,Autophagy; Cell_cycle; ER_UPR; Glycolytic_controls; Heat_shock_chaperones; Proteasome; Ribosomal_proteins; Ubiquitin_system,,,"FMP32, FAR3, FAU1, ERP2, SLX9, SBA1 [Heat_shock_chaperones], ERV25 [ER_UPR], DOT5, RCN1, THO1, TRP1, MRX11, YEL076C-A, YLR464W, UBC1 [Ubiquitin_system], YBR197C, PSF1, RCR2",14.45,elevated
26.0-28.0 kDa,26.0,28.0,186,0,0,9,Cell_cycle; ER_UPR; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Proteasome; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_system,,,"OCA6 [Protein_phosphatases], SNO4, CAT5, MGE1, TAE1, CYT2, MND1, YSA1, SHU2, YPT52, LSB1, SPR2, YKL033W-A, YOR283W, RIB5, TPT1, RTR1, VPS24",16.05,elevated
28.0-30.0 kDa,28.0,30.0,114,0,0,8,Actin_tubulin; Autophagy; Heat_shock_chaperones; Mitochondrial_membrane; Proteasome; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_system,,,"SCL1 [Proteasome], ISY1, RPS0A [Ribosomal_proteins], YKL071W, IML3, USE1, RPL8B [Ribosomal_proteins], RPL8A [Ribosomal_proteins], LST7, MRPL15, RRP15, IES3, PSY3, SHE2, TAD2, RKI1, GRX3, PUP1 [Proteasome]",11.7,elevated
30.0-32.0 kDa,30.0,32.0,137,1,0,9,Actin_tubulin; Autophagy; Cell_cycle; Heat_shock_chaperones; Histones; Mitochondrial_membrane; Proteasome; Protein_phosphatases; Ubiquitin_system,POR1,,"ATO3, MRPL24, DCI1, CYC3, MGM101, BMH1, SPO7, ERS1, PRO3, MAM33, DAL80, LUC7, YCL002C, ATG27 [Autophagy], PIR5, YCL068C, RSM26, SDH2",18.6,high
32.0-34.0 kDa,32.0,34.0,176,0,1,9,Actin_tubulin; Autophagy; Cell_cycle; ER_UPR; Glycolytic_controls; Heat_shock_chaperones; Mitochondrial_membrane; Ribosomal_proteins; Ubiquitin_system,,PHO80,"YLR271W, TDA4, YFT2, PRM4, SNZ3, CRD1, VPS71, SNZ2, PEX18, PCL7 [Cell_cycle], LNP1 [ER_UPR], YMR087W, ASK1, PIN2, YNG2, INM2, ATP10 [Mitochondrial_membrane], PCL1 [Cell_cycle]",17.05,high
34.0-36.0 kDa,34.0,36.0,195,2,4,12,Actin_tubulin; Autophagy; Cell_cycle; Glycolytic_controls; Heat_shock_chaperones; Mitochondrial_membrane; Proteasome; Protein_kinases; Protein_phosphatases; RAS_PKA_SNF1; TOR_AGC_signaling; Ubiquitin_system,"NOP1, TDH3","PHO4, PHO85, RAS1, RAS2","ODC2, GCN3, TY3A-G, LST8 [TOR_AGC_signaling], COX11 [Mitochondrial_membrane], OAZ1, GID10, CYT1, CDC28 [Cell_cycle; Protein_kinases], YOR385W, CDC34 [Cell_cycle; Ubiquitin_system], SPC34, YNL194C, PHO4, SPE4, TY3A-I, AIM46, ECM11",34.75,high
36.0-38.0 kDa,36.0,38.0,149,1,0,8,Cell_cycle; Glycolytic_controls; Heat_shock_chaperones; Mitochondrial_membrane; Proteasome; Protein_kinases; Protein_phosphatases; RAS_PKA_SNF1,ADH1,,"YMR262W, PHO92, YRB2, GPM2, YKL091C, OTU2, YKR075C, YPL039W, RRP36, RPC34, RFC4, IES2, LIA1, MRH1, YOR292C, RPA43, ELO1, MTD1",18.45,high
38.0-40.0 kDa,38.0,40.0,165,0,0,9,Actin_tubulin; Glycolytic_controls; Heat_shock_chaperones; Histones; Proteasome; Protein_kinases; Protein_phosphatases; Ribosomal_proteins; Ubiquitin_system,,,"SHE1, YML037C, LSP1, HUT1, ARI1, SOR2, TFB3, DFM1, SOR1, GRE2, YER156C, ARV1, SUA7, RFC3, YMR315W, ARA2, PHA2, GTT3",15.0,elevated
